,data,DATA,HORA
435,2022-01-26 18:19:00.000,2022-01-31,21:41:59.999
436,2022-01-27 06:57:00.000,2022-01-31,21:41:59.999
439,2022-01-27 08:23:00.000,2022-01-31,21:41:59.999
440,2022-01-27 12:18:00.000,2022-01-31,21:41:59.999
441,2022-01-27 12:21:00.000,2022-01-31,21:41:59.999
442,2022-01-27 13:02:00.000,2022-01-31,21:41:59.999
443,2022-01-27 14:15:00.000,2022-01-31,21:41:59.999
444,2022-01-27 15:43:00.000,2022-01-31,21:41:59.999
445,2022-01-27 16:03:00.000,2022-01-31,21:41:59.999
448,2022-01-27 17:18:00.000,2022-01-31,21:41:59.999
449,2022-01-27 19:57:00.000,2022-01-31,21:41:59.999
450,2022-01-27 20:00:00.000,2022-01-31,21:41:59.999
451,2022-01-27 20:52:59.999,2022-01-31,21:41:59.999
452,2022-01-27 21:14:59.999,2022-01-31,21:41:59.999
453,2022-01-27 22:20:00.000,2022-01-31,21:41:59.999
454,2022-01-27 22:35:59.999,2022-01-31,21:41:59.999
455,2022-01-27 22:51:59.999,2022-01-31,21:41:59.999
456,2022-01-28 00:30:59.999,2022-01-31,21:41:59.999
457,2022-01-28 02:54:00.000,2022-01-31,21:41:59.999
458,2022-01-28 10:08:00.000,2022-01-31,21:41:59.999
460,2022-01-28 11:16:00.000,2022-01-31,21:41:59.999
461,2022-01-28 13:24:00.000,2022-01-31,21:41:59.999
463,2022-01-28 14:18:59.999,2022-01-31,21:41:59.999
464,2022-01-28 22:31:59.999,2022-01-31,21:41:59.999
465,2022-01-29 02:25:00.000,2022-01-31,21:41:59.999
466,2022-01-29 04:17:59.999,2022-01-31,21:41:59.999
467,2022-01-29 06:03:00.000,2022-01-31,21:41:59.999
468,2022-01-29 12:18:00.000,2022-01-31,21:41:59.999
469,2022-01-29 14:27:59.999,2022-01-31,21:41:59.999
470,2022-01-29 15:14:00.000,2022-01-31,21:41:59.999
471,2022-01-29 15:35:00.000,2022-01-31,21:41:59.999
472,2022-01-29 16:03:00.000,2022-01-31,21:41:59.999
473,2022-01-29 16:21:00.000,2022-01-31,21:41:59.999
474,2022-01-29 17:43:00.000,2022-01-31,21:41:59.999
475,2022-01-30 00:45:00.000,2022-01-31,21:41:59.999
478,2022-01-30 01:53:59.999,2022-01-31,21:41:59.999
479,2022-01-30 02:00:00.000,2022-01-31,21:41:59.999
480,2022-01-30 03:50:59.999,2022-01-31,21:41:59.999
481,2022-01-30 06:09:00.000,2022-01-31,21:41:59.999
483,2022-01-30 07:33:00.000,2022-01-31,21:41:59.999
484,2022-01-30 11:52:59.999,2022-01-31,21:41:59.999
485,2022-01-30 12:14:00.000,2022-01-31,21:41:59.999
486,2022-01-30 17:34:59.999,2022-01-31,21:41:59.999
488,2022-01-30 18:43:00.000,2022-01-31,21:41:59.999
490,2022-01-30 19:15:00.000,2022-01-31,21:41:59.999
491,2022-01-30 23:47:59.999,2022-01-31,21:41:59.999
492,2022-01-31 00:17:00.000,2022-01-31,21:41:59.999
493,2022-01-31 02:49:00.000,2022-01-31,21:41:59.999
494,2022-01-31 20:22:00.000,2022-01-31,21:41:59.999
496,2022-01-31 21:41:59.999,2022-01-31,21:41:59.999
